,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1.1,User,Item,product,jaccard
12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,12,C12,9,"{'18839', '18461', '568', '13362', '3715', '7168', '12809', '4008', '6630', 'id'}",0.0
13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,C13,4,"{'4464', '7071', '10833', '8640', '4426'}",0.0
14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,C14,9,"{'7990', '7220', '6810', '7320', '20638', '514', '23489', '5939', '26789', '15843'}",0.10526315789473684
15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,C15,1,"{'15807', '5904'}",0.0
16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,16,C16,1,"{'12694', '11776'}",0.0
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,C17,6,"{'3950', '14793', '22477', '6580', '5143', '5904', '6226'}",0.058823529411764705
18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,18,C18,3,"{'4978', '1444', '3599', '15843'}",0.07142857142857142
19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,C19,2,"{'6226', '5977', '23489'}",0.07692307692307693
20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,C20,9,"{'18029', '4722', '15421', '960', '6889', '8112', '13631', '15882', '8640', '12986'}",0.0
21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,C21,7,"{'12691', '13595', '9', '6427', '2117', '1396', '581', '15843'}",0.11764705882352941
22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,C22,9,"{'14191', '22477', '20922', '3702', '13966', '23489', '23471', '6371', '13951', '11767'}",0.05
23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,23,C23,5,"{'9', '514', '9785', '5420', '13214', '7278'}",0.13333333333333333
24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,24,C24,3,"{'12927', '13366', '9708', '16328'}",0.07142857142857142
25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,25,C25,7,"{'4722', '4561', '13362', '4780', '13983', '4160', '94', '6309'}",0.0
26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,26,C26,9,"{'2990', '8882', '6188', '14480', '14793', '14195', '1532', '4398', '18777', '4781'}",0.0
27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,27,C27,2,"{'13562', '10833', '20973'}",0.0
28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,28,C28,1,"{'13931', '23471'}",0.0
29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,29,C29,9,"{'1341', '3715', '4464', '13631', '22632', '4322', '3910', '2034', '4426', '1980'}",0.05
30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,C30,5,"{'7990', '6991', '8996', '9785', '5143', '21828'}",0.0625
31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,31,C31,8,"{'5977', '5084', '15470', '6188', '8112', '9785', '14195', '5420', '3910'}",0.0
32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,32,C32,10,"{'1341', '13484', '20236', '7878', '9', '4200', '23471', '1396', '4492', '6309'}",0.10526315789473684
33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,33,C33,6,"{'4308', '7990', '7566', '4340', '4464', '11767', '11895'}",0.0
34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,34,C34,10,"{'3392', '12014', '13410', '7444', '8112', '20638', '20539', '22881', '9708', '16683', '1444'}",0.047619047619047616
35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,35,C35,2,"{'1690', '23470', '11895'}",0.0
36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,36,C36,10,"{'13044', '4219', '17957', '22632', '2432', '15230', '6427', '5420', '7160', '1872', '15843'}",0.047619047619047616
37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,37,C37,10,"{'82', '19139', '8882', '13366', '15230', '5143', '7818', '23589', '7223', '2034'}",0.10526315789473684
38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,38,C38,6,"{'2026', '6834', '1449', '9056', '11344', '4401', '12986'}",0.0
39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,39,C39,6,"{'82', '7220', '20236', '13631', '837', '7223', '21828'}",0.0
40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,40,C40,9,"{'2157', '8431', '523', '349', '9', '5420', '13966', '14453', '13951', '1560'}",0.05
41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,41,C41,6,"{'5977', '13562', '7002', '4464', '13631', '9056', '10472'}",0.0
42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,42,C42,2,"{'1454', '7320', '4781'}",0.0
43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,43,C43,9,"{'18461', '7566', '7220', '9058', '8112', '22477', '9056', '14453', '7316'}",0.0
44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,44,C44,9,"{'448', '9211', '7113', '9', '22632', '4211', '13951', '15635', '26789', '1560'}",0.05
45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,45,C45,5,"{'3599', '6783', '13099', '11862', '4200', '15843'}",0.0625
46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,46,C46,10,"{'22086', '1449', '5951', '14480', '13214', '1396', '23471', '5904', '94', '20973', '16328'}",0.0
47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,47,C47,10,"{'4219', '14044', '3392', '4722', '10726', '6188', '7320', '4780', '4008', '13846', '26789'}",0.0
48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,48,C48,7,"{'7566', '20236', '3597', '9', '23479', '6580', '6630', '4401'}",0.05555555555555555
49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,49,C49,8,"{'4722', '960', '12691', '8112', '7248', '4978', '12869', '7071', '21019'}",0.0
50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,50,C50,1,"{'448', '6188'}",0.0
51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,51,C51,3,"{'4200', '3099', '1560', '15912'}",0.0
52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,C52,4,"{'4464', '2004', '15912', '8708', '6903'}",0.0
53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,53,C53,10,"{'2157', '12552', '15421', '15912', '7071', '94', '13951', '189', '15807', '8654', '1980'}",0.0
54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,54,C54,9,"{'6248', '12259', '1449', '7168', '9056', '6427', '13966', '10833', '1872', '8654'}",0.0
55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,55,C55,3,"{'82', '7002', '1980'}",0.0
56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,56,C56,4,"{'15529', '5942', '7113', '20236', '4464'}",0.0
57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,57,C57,5,"{'6991', '12259', '13595', '6483', '9364', '581'}",0.0
58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,C58,7,"{'5084', '12552', '7566', '8112', '4242', '23489', '5939', '7058'}",0.05555555555555555
59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,59,C59,7,"{'4312', '13562', '1690', '6889', '8112', '23479', '4781'}",0.0
60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,C60,10,"{'13562', '13723', '21022', '20700', '15763', '22477', '20824', '3597', '9115', '13064', '10726'}",0.0
61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,61,C61,5,"{'7220', '7113', '4322', '5939', '19889', '12694'}",0.0625
62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,62,C62,2,"{'9', '15421', '13366'}",0.07692307692307693
63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,63,C63,3,"{'9808', '1449', '12809', '5143'}",0.07142857142857142
64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,64,C64,8,"{'19139', '21022', '22196', '15912', '3702', '2117', '4398', '3615', '13030'}",0.0
65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,C65,8,"{'15421', '12411', '9785', '15230', '15695', '6944', '216', '1444', '15843'}",0.1111111111111111
66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,66,C66,7,"{'19139', '4464', '13099', '4300', '3910', '16683', '8654', '10726'}",0.0
67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,67,C67,3,"{'21029', '20700', '9785', '15230'}",0.0
68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,68,C68,2,"{'7818', '3910', '4492'}",0.0
69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,69,C69,7,"{'4312', '7002', '6931', '7220', '5951', '20824', '17746', '23471'}",0.0
70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,70,C70,6,"{'4561', '23479', '6427', '3702', '3910', '26789', '8708'}",0.0
71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,71,C71,1,"{'20539', '4160'}",0.0
72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,72,C72,7,"{'9711', '4464', '523', '22881', '15230', '17746', '837', '6903'}",0.05555555555555555
73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,C73,3,"{'4300', '8152', '3910', '12259'}",0.0
74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,74,C74,1,"{'13966', '4219'}",0.0
75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,75,C75,7,"{'13723', '7220', '8112', '4200', '837', '4008', '7278', '12694'}",0.05555555555555555
76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,76,C76,9,"{'11658', '6991', '9', '3099', '10833', '23471', '1396', '15807', '3488', '4414'}",0.05
77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,77,C77,9,"{'9055', '3637', '7444', '767', '7320', '4464', '18519', '9708', '216', '4426'}",0.10526315789473684
78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,78,C78,7,"{'18461', '6834', '439', '11862', '10472', '10833', '8640', '23486'}",0.0
79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,79,C79,8,"{'30', '3715', '1449', '8112', '7320', '23470', '14480', '4300', '1872'}",0.0
80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,80,C80,7,"{'4722', '9211', '7113', '15912', '4978', '9056', '189', '8708'}",0.0
81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,81,C81,5,"{'21022', '10472', '4322', '12809', '13966', '6046'}",0.0
82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,C82,7,"{'9055', '18839', '3599', '285', '4242', '23486', '23679', '12694'}",0.0
83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,C83,7,"{'4308', '568', '8882', '13366', '12809', '837', '6046'}",0.0
84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,84,C84,6,"{'5096', '7878', '13931', '13631', '14195', '6253', '20539'}",0.058823529411764705
85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,85,C85,1,"{'21029', '13723'}",0.0
86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,86,C86,6,"{'5084', '7990', '4722', '15763', '8528', '21426'}",0.0
87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,87,C87,9,"{'1444', '7113', '6991', '6810', '14793', '4211', '8528', '10472', '3156', '23486'}",0.0
88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,88,C88,2,"{'13983', '14108', '11895'}",0.0
89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,89,C89,5,"{'4722', '7566', '12691', '13631', '9808', '8528'}",0.0
90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,C90,1,"{'15529', '14195'}",0.0
91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,91,C91,4,"{'3599', '7818', '13214', '23589', '4492'}",0.0
92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,92,C92,9,"{'7990', '11658', '20236', '12927', '20922', '2117', '5939', '12986', '6903', '2121'}",0.0
93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,93,C93,2,"{'9808', '3488', '11767'}",0.0
94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,94,C94,2,"{'6427', '10472', '1690'}",0.0
95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,95,C95,8,"{'7430', '30', '20236', '523', '14480', '13631', '15705', '5951', '6046'}",0.0
96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,96,C96,1,"{'18839', '6371'}",0.0
97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,97,C97,5,"{'6248', '4464', '23470', '1010', '15695', '12986'}",0.0
98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,98,C98,9,"{'18461', '12014', '7830', '9056', '2034', '850', '4401', '6226', '11767'}",0.05263157894736842
99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,C99,6,"{'14044', '12014', '3637', '3599', '21029', '7071', '15587'}",0.0
100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,C100,3,"{'9055', '4781', '6253', '11862'}",0.0
101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,101,C101,8,"{'19139', '3637', '1449', '22477', '7830', '13214', '6226', '10726', '23486'}",0.0
102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,102,C102,2,"{'13484', '17957', '21022'}",0.0
103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,103,C103,8,"{'15421', '13362', '7113', '6810', '5143', '4978', '13966', '12809', '6253'}",0.05263157894736842
104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,104,C104,2,"{'10833', '9', '11658'}",0.07692307692307693
105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,105,C105,9,"{'4308', '13562', '4722', '12014', '9', '3910', '6371', '3615', '8708', '2121'}",0.05
106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,106,C106,8,"{'18029', '18461', '6991', '18519', '15912', '3099', '12869', '8654', '16328'}",0.0
107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,107,C107,4,"{'8528', '15882', '7223', '4398', '4414'}",0.0
108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,108,C108,1,"{'7113', '16328'}",0.0
109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,109,C109,6,"{'12014', '7168', '12927', '15912', '20922', '2034', '15587'}",0.058823529411764705
110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,110,C110,2,"{'4200', '12249', '12986'}",0.0
111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,111,C111,7,"{'22137', '18029', '13410', '8528', '4160', '13064', '7316', '15843'}",0.05555555555555555
112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,112,C112,2,"{'6427', '15843', '12259'}",0.07692307692307693
